postcode,lat,long,val
LE4 2WE,52.68,-1.15,1
LE3 9QE,52.66,-1.175,1.2
LE4 0RR,52.66,-1.15,2.2
LE4 5PG,52.66,-1.125,3.7
LE4 7ZD,52.66,-1.1,1.7
LE5 1TL,52.66,-1.075,1
LE3 6PH,52.64,-1.2,1.8
LE3 6DG,52.64,-1.175,0.9
LE1 2EB,52.64,-1.125,1.5
LE5 3NW,52.64,-1.1,1.1
LE5 2BB,52.64,-1.075,1.1
LE5 2PW,52.64,-1.05,2.5
LE3 1ES,52.62,-1.175,2.3
LE3 2BQ,52.62,-1.15,0.6
LE1 9QD,52.62,-1.125,1.3
LE5 5TL,52.62,-1.1,0.9
LE5 6FP,52.62,-1.075,1.1
LE2 8TN,52.6,-1.15,1.7
LE2 6JE,52.6,-1.125,1.1
LE2 9UG,52.58,-1.15,1.5
