lat,long,val
      52.6244,     -1.13249,      11.7806
      52.6204,     -1.12342,      12.7302
      52.6322,     -1.12575,      11.97568
      52.6372,     -1.12535,      10.5952
      52.6417,     -1.13118,      13.4249
      52.6267,     -1.10760,      3.91182
      52.6294,     -1.12630,      9.19781
      52.6425,     -1.08052,      13.8510
      52.6010,     -1.15252,      5.76966
      52.6027,     -1.11912,      7.61630
      52.6178,     -1.17774,      13.9999
      52.6375,     -1.16847,      7.51202
      52.6620,     -1.09867,      5.88234
      52.6515,     -1.12641,      13.8685
      52.6002,     -1.08231,      9.10403
